"","Num","Condition","Tank_Replicate","Type","Treatment","mean_div","sd_div"
"1",54,"C_NUV","A","NUV","C",0.916736162574107,0.068176480452288
"2",55,"C_NUV","B","NUV","C",0.88299391540485,0.0280865451142742
"3",56,"C_NUV","C","NUV","C",0.92720756639561,0.0265697975447238
"4",57,"S4_NUV","A","NUV","S4",0.876359002797362,0.0241209323339146
"5",58,"S4_NUV","B","NUV","S4",0.905122981259681,0.0266073665618976
"6",59,"S4_NUV","C","NUV","S4",0.931719171440207,0.0115266751056842
"7",60,"C_UV","A","UV","C",0.815833078800139,0.0768433420714546
"8",61,"C_UV","B","UV","C",0.801537910424344,0.0517280957809227
"9",62,"C_UV","C","UV","C",0.830552174297655,0.0137440542434795
"10",63,"S4_UV","A","UV","S4",0.836430904252123,0.0624712635703743
"11",64,"S4_UV","B","UV","S4",0.877271954948459,0.0426092786155924
"12",65,"S4_UV","C","UV","S4",0.891564619719062,0.0335394366490803
